Country,Data,Validity,Price
Tunisia,1024.0,7,4.5
Tunisia,2048.0,15,7.5
Tunisia,3072.0,30,10.0
Tunisia,5120.0,30,14.0
Tunisia,10240.0,30,23.0
Tunisia,20480.0,30,36.0
Turkey,1024.0,7,4.5
Turkey,2048.0,15,6.5
Turkey,3072.0,30,8.0
Turkey,5120.0,30,12.0
Turkey,10240.0,30,18.0
Turkey,20480.0,30,26.0
Turks and Caicos Islands,1024.0,7,9.5
Uganda,1024.0,7,7.0
Uganda,2048.0,15,13.0
Uganda,3072.0,30,17.5
Uganda,5120.0,30,27.0
Uganda,10240.0,30,49.0
Ukraine,1024.0,7,4.5
Ukraine,3072.0,30,9.0
Ukraine,5120.0,30,12.5
Ukraine,10240.0,30,20.0
United Arab Emirates,1024.0,7,4.5
United Arab Emirates,2048.0,15,7.0
United Arab Emirates,3072.0,30,9.5
United Arab Emirates,5120.0,30,13.0
United Arab Emirates,10240.0,30,21.0
United Arab Emirates,20480.0,30,35.0
United Kingdom,1024.0,7,5.0
United Kingdom,2048.0,15,7.5
United Kingdom,3072.0,30,10.0
United Kingdom,5120.0,30,15.0
United Kingdom,10240.0,30,22.5
United Kingdom,20480.0,30,36.0
United States,1024.0,7,4.5
United States,2048.0,15,8.0
United States,3072.0,30,11.0
United States,5120.0,30,16.0
United States,10240.0,30,26.0
United States,20480.0,30,42.0
Uruguay,1024.0,7,9.0
Uruguay,2048.0,15,17.0
Uruguay,3072.0,30,24.0
Uruguay,5120.0,30,37.5
Uzbekistan,1024.0,7,4.5
Uzbekistan,2048.0,15,7.5
Uzbekistan,3072.0,30,9.5
Uzbekistan,5120.0,30,13.5
Uzbekistan,10240.0,30,22.0
Uzbekistan,20480.0,30,34.0
Vatican City,1024.0,7,4.5
Vatican City,2048.0,15,8.0
Vatican City,3072.0,30,10.0
Vatican City,5120.0,30,14.5
Vatican City,10240.0,30,24.0
Vatican City,20480.0,30,38.0
Venezuela,1024.0,7,9.5
Venezuela,2048.0,15,18.0
Venezuela,3072.0,30,25.5
Venezuela,5120.0,30,40.0
Vietnam,1024.0,7,4.5
Vietnam,2048.0,15,7.0
Vietnam,3072.0,30,9.5
Vietnam,5120.0,30,13.0
Vietnam,10240.0,30,21.0
Vietnam,20480.0,30,32.0
Zambia,1024.0,7,9.5
Zimbabwe,1024.0,7,9.5
