Country,Data,Validity,Price
Scotland,2048.0,15,6.5
Scotland,3072.0,30,8.5
Scotland,5120.0,30,11.5
Scotland,10240.0,30,18.0
Scotland,20480.0,30,26.0
Senegal,1024.0,7,6.0
Senegal,2048.0,15,11.0
Senegal,3072.0,30,14.5
Senegal,5120.0,30,22.0
Senegal,10240.0,30,39.0
Serbia,1024.0,7,4.5
Serbia,2048.0,15,7.0
Serbia,3072.0,30,9.5
Serbia,5120.0,30,13.0
Serbia,10240.0,30,21.0
Serbia,20480.0,30,32.0
Seychelles,1024.0,7,7.0
Seychelles,2048.0,15,13.0
Seychelles,3072.0,30,17.5
Seychelles,5120.0,30,27.0
Seychelles,10240.0,30,49.0
Sierra Leone,1024.0,7,6.5
Sierra Leone,2048.0,15,12.5
Sierra Leone,3072.0,30,17.0
Sierra Leone,5120.0,30,26.0
Singapore,1024.0,7,4.5
Singapore,2048.0,15,6.5
Singapore,3072.0,30,8.5
Singapore,5120.0,30,11.5
Singapore,10240.0,30,18.0
Singapore,20480.0,30,26.0
Sint Maarten (Dutch Part),1024.0,7,9.5
Slovakia,1024.0,7,4.5
Slovakia,3072.0,30,9.0
Slovakia,5120.0,30,13.0
Slovakia,10240.0,30,22.0
Slovenia,1024.0,7,5.0
Slovenia,2048.0,15,8.5
Slovenia,3072.0,30,10.0
Slovenia,5120.0,30,15.0
Slovenia,10240.0,30,22.5
Slovenia,20480.0,30,46.0
South Africa,1024.0,7,4.5
South Africa,2048.0,15,8.0
South Africa,3072.0,30,11.0
South Africa,5120.0,30,15.5
South Africa,10240.0,30,26.0
South Korea,,10,32.0
South Korea,,30,62.0
Spain,1024.0,7,4.5
Spain,2048.0,15,6.5
Spain,3072.0,30,8.5
Spain,5120.0,30,11.5
Spain,10240.0,30,18.0
Spain,20480.0,30,26.0
Sri Lanka,1024.0,7,4.5
Sri Lanka,2048.0,15,7.0
Sri Lanka,3072.0,30,9.5
Sri Lanka,5120.0,30,13.0
Sri Lanka,10240.0,30,21.0
Sri Lanka,20480.0,30,32.0
Suriname,1024.0,7,9.5
Sweden,1024.0,7,4.5
Sweden,2048.0,15,6.5
Sweden,3072.0,30,8.0
Sweden,5120.0,30,12.0
Sweden,10240.0,30,18.0
Sweden,20480.0,30,32.0
Switzerland,1024.0,7,4.5
Switzerland,2048.0,15,8.0
Switzerland,3072.0,30,10.0
Switzerland,5120.0,30,14.5
Switzerland,10240.0,30,24.0
Switzerland,20480.0,30,38.0
Taiwan,1024.0,7,4.5
Taiwan,2048.0,15,7.0
Taiwan,3072.0,30,9.5
Taiwan,5120.0,30,13.0
Taiwan,10240.0,30,21.0
Taiwan,20480.0,30,32.0
Tajikistan,1024.0,7,9.0
Tajikistan,2048.0,15,17.0
Tajikistan,3072.0,30,23.5
Tajikistan,5120.0,30,37.0
Tanzania,1024.0,7,4.5
Tanzania,2048.0,15,8.0
Tanzania,3072.0,30,11.0
Tanzania,5120.0,30,15.5
Tanzania,10240.0,30,26.0
Thailand,51200.0,10,9.9
Thailand,,15,19.95
Timor - Leste,1024.0,7,6.5
Togo,1024.0,7,9.5
Tonga,1024.0,7,5.5
Tonga,2048.0,15,10.0
Tonga,3072.0,30,13.0
Tonga,5120.0,30,19.5
Tonga,10240.0,30,34.0
Trinidad and Tobago,1024.0,7,9.5
Trinidad and Tobago,2048.0,15,18.0
